Artículo,Fuente Suministro,Inventario,Backorder,Importancia RFM,Alerta,Monto USD,Última Compra,Compras Recomendadas,Recomendacion USD
54650-b2100,ito koyama - amortiguadores,134.0,0.0,1,verde,11.3,3.0,50,565.0
377412503,ito koyama - amortiguadores,0.0,0.0,3,rojo,6.65,100.0,250,1662.5
54302-1n310,ito koyama - amortiguadores,69.0,0.0,2,verde,10.1,80.0,100,1010.0
to-841,ito koyama - palieres,0.0,0.0,3,rojo,11.1,200.0,200,2220.0
icd1264,ishikawa - pastillas de freno,128.0,0.0,0,verde,5.53,100.0,50,276.5
48510-20010,ito koyama - amortiguadores,0.0,0.0,3,rojo,6.95,100.0,250,1737.5
bdd057,ishikawa - discos de freno,0.0,0.0,0,rojo,8.72,50.0,50,436.00000000000006
bdw001,ito koyama - bocamazas,7.0,0.0,0,rojo,6.3,204.0,100,630.0
c-11100,mann - brasil,50.0,0.0,2,rojo,8.14,60.0,250,2035.0000000000002
hy049,ito koyama - resortes,0.0,0.0,3,rojo,6.62,184.0,350,2317.0
884572,valvoline - usa,270.0,0.0,3,verde,4.99,126.0,100,499.0
sb005,ito koyama - resortes,0.0,0.0,0,rojo,6.3,104.0,50,315.0
a-31140,sakura filter,128.0,0.0,2,verde,5.69,200.0,150,853.5000000000001
w16exr-u,denso - bujias - japon,124.0,0.0,1,amarillo,0.99,192.0,400,396.0
48892,narva,16496.0,0.0,3,verde,1.9293888401985169,1300.0,7850,15145.702395558357
a-5149-s,sakura filter,133.0,0.0,0,verde,7.0,81.0,100,700.0
hy039,ito koyama - resortes,40.0,0.0,3,amarillo,11.87,100.0,100,1187.0
48510-52031,ito koyama - amortiguadores,12.0,0.0,3,rojo,9.9,174.0,500,4950.0
op-004,ito koyama - palieres,17.0,0.0,2,amarillo,6.3,50.0,150,945.0
ami002,ito koyama - direccion,116.0,0.0,0,verde,2.08,300.0,50,104.0
a-3308,sakura filter,67.0,0.0,0,verde,2.54,100.0,50,127.0
48034,narva,254.0,0.0,1,verde,2.6153011441230776,200.0,150,392.2951716184616
wk-940/26,mann - brasil,43.0,0.0,3,amarillo,23.07,60.0,100,2307.0
