Artículo,Fuente Suministro,Inventario,Backorder,Importancia RFM,Alerta,Monto USD,Última Compra,Compras Recomendadas,Recomendacion USD
eo-2626,sakura filter,662.0,0.0,3,verde,2.08,300.0,750,1560.0
55311-2h000,ito koyama - amortiguadores,233.0,0.0,2,verde,7.2,199.0,150,1080.0
c-1007,sakura filter,45.0,0.0,3,amarillo,7.7,198.0,200,1540.0
4060a397,ito koyama - amortiguadores,73.0,0.0,3,amarillo,9.86,144.0,150,1479.0
ca-28180-s,sakura filter,0.0,0.0,2,rojo,1.35,100.0,200,270.0
54661-2s000,ito koyama - amortiguadores,16.0,0.0,3,amarillo,12.32,80.0,100,1232.0
d008,ito koyama - resortes,160.0,0.0,0,verde,6.5,152.0,100,650.0
a-29440,sakura filter,29.0,0.0,0,verde,3.05,200.0,50,152.5
a-8681,sakura filter,0.0,0.0,0,rojo,18.51,30.0,100,1851.0000000000002
xu22hdr9,denso - bujias - japon,212.0,0.0,1,verde,3.35,288.0,300,1005.0
c-5816,sakura filter,275.0,0.0,3,verde,4.71,204.0,600,2826.0
h80900025,valvoline,142.0,0.0,3,verde,3.27,240.0,150,490.5
hy-011,ito koyama - palieres,0.0,0.0,3,rojo,6.1,100.0,150,915.0
ho-017,ito koyama - palieres,0.0,0.0,0,rojo,7.14,50.0,50,357.0
54660-b2100,ito koyama - amortiguadores,129.0,0.0,1,verde,11.8,11.0,50,590.0
r2050sn5500,valvoline,25.0,0.0,2,verde,500.54,14.0,50,25027.0
c-5705,sakura filter,232.0,0.0,0,verde,6.5,198.0,100,650.0
ca-17160,sakura filter,471.0,0.0,1,verde,1.13,40.0,400,451.99999999999994
dtx-199,aisin - japon,50.0,0.0,2,amarillo,34.17,50.0,100,3417.0
sfc-19140,sakura filter,0.0,0.0,3,rojo,9.1,204.0,300,2730.0
re002,ito koyama - resortes,0.0,0.0,3,rojo,6.3,104.0,50,315.0
hc-7920,sakura filter,177.0,0.0,3,amarillo,6.5,300.0,300,1950.0
wk-940/24,mann - brasil,456.0,0.0,3,verde,9.1,204.0,350,3185.0
t014,ito koyama - resortes,756.0,0.0,3,verde,4.75,1008.0,950,4512.5
cf-1651,mann - brasil,0.0,0.0,3,rojo,20.85,60.0,100,2085.0
w-1168/5,mann - brasil,209.0,0.0,3,verde,9.22,204.0,200,1844.0000000000002
w-11102/18,mann - brasil,48.0,0.0,0,amarillo,9.5,60.0,100,950.0
as-7805-s,sakura filter,195.0,0.0,3,verde,10.73,261.0,100,1073.0
h-12111x,mann - brasil,1578.0,0.0,0,verde,7.44,504.0,100,744.0
fc-1020,sakura filter,522.0,0.0,1,verde,1.55,432.0,350,542.5
48510-09k60ref,ito koyama - amortiguadores,0.0,0.0,3,rojo,10.14,104.0,450,4563.0
fc-55240,sakura filter,335.0,0.0,3,verde,9.1,120.0,400,3640.0
cf-1552,mann - brasil,26.0,0.0,0,verde,7.77,60.0,50,388.5
48042,narva,257.0,0.0,3,amarillo,1.6701009249687195,1000.0,400,668.0403699874878
cf-1550,mann - brasil,18.0,0.0,0,amarillo,11.68,30.0,50,584.0
ni-048,ito koyama - palieres,0.0,0.0,0,rojo,7.6,50.0,100,760.0
17040,narva,1900.0,0.0,2,verde,0.15182735681533815,6000.0,2400,364.3856563568116
48510-52790,ito koyama - amortiguadores,0.0,0.0,3,rojo,10.3,504.0,2100,21630.0
54650-2k000,ito koyama - amortiguadores,32.0,0.0,0,amarillo,10.5,52.0,200,2100.0
cf-600/1,mann - brasil,95.0,0.0,3,amarillo,8.88,240.0,150,1332.0000000000002
ss01,ito koyama - resortes,0.0,0.0,0,rojo,7.35,60.0,100,735.0
ki-002,ito koyama - palieres,0.0,0.0,3,rojo,7.2,200.0,250,1800.0
n022,ito koyama - resortes,1.0,0.0,0,rojo,5.8,56.0,100,580.0
af9033mv,prestone - mexico,795.0,0.0,3,verde,4.95,1560.0,850,4207.5
eo-25030,sakura filter,89.0,0.0,0,amarillo,4.29,100.0,100,429.0
rda001,ito koyama - direccion,0.0,0.0,0,rojo,3.06,160.0,100,306.0
hy038,ito koyama - resortes,0.0,0.0,3,rojo,5.25,304.0,400,2100.0
eo-1102,sakura filter,64.0,0.0,2,amarillo,1.0,300.0,300,300.0
fc-1002,sakura filter,54.0,0.0,2,amarillo,1.8,200.0,200,360.0
a-28690,sakura filter,295.0,0.0,3,verde,1.0,140.0,500,500.0
eo-18060,sakura filter,400.0,0.0,0,verde,1.07,300.0,200,214.0
a-1050,sakura filter,53.0,0.0,3,verde,9.26,120.0,50,463.0
24526127l,ito koyama - amortiguadores,47.0,0.0,3,amarillo,10.1,108.0,200,2020.0
a-1019,sakura filter,15.0,0.0,2,amarillo,12.04,100.0,50,602.0
ch008,ito koyama - resortes,0.0,0.0,3,rojo,5.9,200.0,500,2950.0
wk-940/20,mann - brasil,32.0,0.0,0,amarillo,7.478192912340164,60.0,100,747.8192912340164
icd1674,ishikawa - pastillas de freno,186.0,0.0,0,verde,4.22,200.0,100,422.0
hy-610,ito koyama - palieres,0.0,0.0,2,rojo,5.9,200.0,300,1770.0
fc-1003,sakura filter,245.0,0.0,2,verde,1.9,150.0,250,475.0
55303-51y00,ito koyama - amortiguadores,0.0,0.0,3,rojo,9.8,68.0,200,1960.0000000000002
17063,narva,2060.0,0.0,1,verde,0.16267216801643372,4000.0,850,138.27134281396866
4106861j00,ito koyama - amortiguadores,0.0,0.0,3,rojo,10.15,144.0,100,1015.0
dt-036v,aisin - japon,119.0,0.0,3,amarillo,17.74,200.0,200,3547.9999999999995
48530-02180,ito koyama - amortiguadores,0.0,0.0,3,rojo,6.9,8.0,150,1035.0
c-1113,sakura filter,0.0,0.0,1,rojo,1.36,300.0,700,952.0000000000001
fc-5715,sakura filter,0.0,0.0,0,rojo,3.44,50.0,150,516.0
as-2206-s,sakura filter,0.0,0.0,2,rojo,3.4,12.0,150,510.0
377513029,ito koyama - amortiguadores,0.0,0.0,3,rojo,7.9,99.0,300,2370.0
a-5801-s,sakura filter,257.0,0.0,3,verde,16.96,12.0,300,5088.0
ef-1002,sakura filter,105.0,0.0,3,rojo,3.45,396.0,950,3277.5
55300-1m300,ito koyama - amortiguadores,67.0,0.0,3,amarillo,5.95,160.0,350,2082.5
re001,ito koyama - resortes,0.0,0.0,3,rojo,5.36,104.0,200,1072.0
a-1178,sakura filter,179.0,0.0,2,amarillo,1.07,140.0,200,214.0
k16r-u,denso - bujias - japon,340.0,0.0,1,verde,0.99,384.0,100,99.0
sfc-55240,sakura filter,176.0,0.0,2,verde,12.09,84.0,50,604.5
icd937,ishikawa - pastillas de freno,13.0,0.0,0,amarillo,4.42,50.0,100,442.0
24526127r,ito koyama - amortiguadores,75.0,0.0,3,amarillo,10.1,138.0,250,2525.0
a-6709-s,sakura filter,0.0,0.0,3,rojo,15.42,163.0,200,3084.0
c-1735,sakura filter,0.0,0.0,2,rojo,7.8,102.0,250,1950.0
hy044,ito koyama - resortes,0.0,0.0,3,rojo,5.57,304.0,500,2785.0
48531-35190ref,ito koyama - amortiguadores,0.0,0.0,3,rojo,7.4,200.0,450,3330.0
4851087401,ito koyama - amortiguadores,43.0,0.0,2,verde,9.9,60.0,100,990.0
a-5903,sakura filter,0.0,0.0,3,rojo,5.3,448.0,950,5035.0
sfc-1306-30,sakura filter,201.0,0.0,3,amarillo,5.33,160.0,750,3997.5
a-38320-s,sakura filter,122.0,0.0,2,verde,18.0,108.0,100,1800.0
48530-02130,ito koyama - amortiguadores,44.0,0.0,3,verde,11.3,60.0,150,1695.0
96207646,ito koyama - amortiguadores,27.0,0.0,0,verde,11.96,150.0,50,598.0
55310-c7200,ito koyama - amortiguadores,0.0,0.0,2,rojo,6.4,140.0,250,1600.0
c-1522,sakura filter,146.0,0.0,0,amarillo,4.5,198.0,150,675.0
c-1112,sakura filter,151.0,0.0,2,amarillo,2.5,400.0,250,625.0
a-28960,sakura filter,73.0,0.0,2,amarillo,3.6,1200.0,150,540.0
54661-2e500,ito koyama - amortiguadores,38.0,0.0,2,verde,10.9,54.0,50,545.0
mi-002,ito koyama - palieres,0.0,0.0,3,rojo,6.3,100.0,400,2520.0
c-38090,sakura filter,269.0,0.0,3,verde,5.72,144.0,300,1716.0
t1142,ito koyama - trapecios,25.0,0.0,0,verde,9.57,40.0,50,478.5
3330084,ito koyama - amortiguadores,194.0,0.0,3,verde,10.9,324.0,300,3270.0
a-5444-s,sakura filter,191.0,0.0,3,verde,17.79,159.0,200,3558.0
t024,ito koyama - resortes,56.0,0.0,2,amarillo,4.52,208.0,150,677.9999999999999
cu-1919,mann - brasil,70.0,0.0,1,amarillo,1.6778709208965301,100.0,100,167.78709208965302
n013,ito koyama - resortes,0.0,0.0,3,rojo,4.73,400.0,350,1655.5000000000002
p-811,mann - brasil,58.0,0.0,0,verde,5.4101821589469905,60.0,100,541.0182158946991
t1143,ito koyama - trapecios,18.0,0.0,1,amarillo,9.57,40.0,50,478.5
48358,narva,611.0,0.0,3,verde,3.081931638717651,600.0,850,2619.6418929100037
54651-2h000,ito koyama - amortiguadores,0.0,0.0,2,rojo,11.1,100.0,50,555.0
553028h304,ito koyama - amortiguadores,10.0,0.0,0,amarillo,10.6,60.0,50,530.0
54661-f2000,ito koyama - amortiguadores,0.0,0.0,2,rojo,11.1,78.0,50,555.0
sdhd-519,seco - embragues,73.0,0.0,3,verde,18.98,200.0,150,2847.0
17037,narva,4220.0,0.0,3,verde,0.10851871967315674,4000.0,7850,851.8719494342804
t038,ito koyama - resortes,216.0,0.0,2,amarillo,4.5,744.0,250,1125.0
sfc-7939-30b,sakura filter,155.0,0.0,3,verde,16.89,102.0,150,2533.5
a-28640,sakura filter,290.0,0.0,3,verde,1.4,380.0,300,420.0
a-66130,sakura filter,136.0,0.0,0,verde,2.34,300.0,100,234.0
mz003,ito koyama - resortes,0.0,0.0,0,rojo,3.89,80.0,100,389.0
a-38050-s,sakura filter,61.0,0.0,3,amarillo,25.9,96.0,150,3885.0
cmt-005,aisin - japon,0.0,0.0,0,rojo,24.41,56.0,50,1220.5
546612d000,ito koyama - amortiguadores,1.0,0.0,2,rojo,10.5,8.0,50,525.0
553000x100,ito koyama - amortiguadores,105.0,0.0,0,verde,5.8,100.0,150,870.0
fc-13210,sakura filter,157.0,0.0,3,verde,12.09,120.0,50,604.5
bto003,ito koyama - bocamazas,0.0,0.0,3,rojo,9.75,204.0,450,4387.5
icd684,ishikawa - pastillas de freno,212.0,0.0,2,verde,4.0,300.0,200,800.0
a-1142,sakura filter,347.0,0.0,2,verde,3.25,96.0,150,487.5
di1540ci025,valvoline,194.0,0.0,3,verde,2.96,120.0,100,296.0
a-5568-s,sakura filter,56.0,0.0,0,verde,14.46,4.0,100,1446.0
96407822,ito koyama - amortiguadores,46.0,0.0,1,verde,10.85,52.0,50,542.5
ef-13070,sakura filter,439.0,0.0,3,amarillo,2.75,300.0,2250,6187.5
ctx-076,aisin - japon,75.0,0.0,0,verde,33.1,100.0,100,3310.0
bdd014,ishikawa - discos de freno,124.0,0.0,0,verde,11.42,150.0,100,1142.0
fc-5516,sakura filter,57.0,0.0,0,amarillo,2.31,48.0,100,231.0
a-8649-s,sakura filter,38.0,0.0,2,verde,32.61,12.0,100,3261.0
a-6207-s,sakura filter,264.0,0.0,3,verde,12.5,18.0,200,2500.0
a-5654-s,sakura filter,254.0,0.0,3,verde,19.87,188.0,100,1987.0
eo-53880,sakura filter,119.0,0.0,0,amarillo,1.81,150.0,200,362.0
26560143,sakura filter,260.0,0.0,3,verde,3.5,825.0,600,2100.0
hy046,ito koyama - resortes,0.0,0.0,3,rojo,8.72,104.0,150,1308.0
schd-645,seco - embragues,9.0,0.0,0,amarillo,19.15,50.0,50,957.4999999999999
rov530100,rover - usa,140.0,0.0,2,verde,11.5,432.0,200,2300.0
ef-2636,sakura filter,0.0,0.0,3,rojo,3.61,300.0,1050,3790.5
44209,versachem - usa,1770.0,0.0,3,verde,2.28,4320.0,300,683.9999999999999
ek004,ito koyama - direccion,22.0,0.0,0,amarillo,1.81,20.0,100,181.0
hu-718/1k,mann - brasil,112.0,0.0,2,amarillo,1.8433874559402466,50.0,150,276.508118391037
a-1725,sakura filter,258.0,0.0,0,verde,2.15,120.0,50,107.5
fs-8001,sakura filter,26.0,0.0,1,amarillo,2.23,300.0,150,334.5
41601-58m00,ito koyama - amortiguadores,0.0,0.0,3,rojo,10.6,148.0,50,530.0
bdd006,ishikawa - discos de freno,0.0,0.0,0,rojo,7.31,200.0,250,1827.5
48078,narva,274.0,0.0,3,verde,5.555309246778488,400.0,350,1944.3582363724706
hy008,ito koyama - resortes,1520.0,0.0,3,verde,4.2,2008.0,1000,4200.0
t015,ito koyama - resortes,996.0,0.0,3,amarillo,4.7,1600.0,1750,8225.0
48541-09210ref,ito koyama - amortiguadores,0.0,0.0,3,rojo,8.6,1.0,200,1720.0
18033,narva,464.0,0.0,3,verde,15.941399919986724,600.0,1450,23115.02988398075
343265,ito koyama - amortiguadores,58.0,0.0,0,amarillo,6.35,100.0,150,952.5
hy041,ito koyama - resortes,0.0,0.0,3,rojo,4.83,224.0,250,1207.5
fc-10290,sakura filter,717.0,0.0,3,amarillo,3.91,450.0,650,2541.5
ca-1806,sakura filter,91.0,0.0,1,verde,0.97,100.0,100,97.0
a-6832-s,sakura filter,268.0,0.0,3,verde,37.68,2.0,50,1884.0
c-20500,mann - brasil,66.0,0.0,3,amarillo,14.35,120.0,100,1435.0
v002,ito koyama - resortes,30.0,0.0,3,rojo,5.78,160.0,350,2023.0
fc-1107,sakura filter,125.0,0.0,1,verde,1.78,100.0,50,89.0
ch012,ito koyama - resortes,13.0,0.0,0,amarillo,6.3,80.0,100,630.0
n021,ito koyama - resortes,8.0,0.0,0,rojo,9.14,100.0,100,914.0
ni-011,ito koyama - palieres,0.0,0.0,0,rojo,7.1,50.0,50,355.0
hy009,ito koyama - resortes,1476.0,0.0,3,verde,4.45,2000.0,1950,8677.5
48530-52b00,ito koyama - amortiguadores,0.0,0.0,3,rojo,6.9,150.0,800,5520.0
bsk001,ito koyama - bocamazas,40.0,0.0,0,amarillo,8.93,120.0,50,446.5
t039,ito koyama - resortes,1.0,0.0,0,rojo,6.1,104.0,50,305.0
18057,narva,339.0,0.0,3,verde,15.191222023963928,462.0,250,3797.805505990982
c-1111,sakura filter,111.0,0.0,1,verde,2.84,96.0,100,284.0
wk-1050/1,mann - brasil,181.0,0.0,3,amarillo,10.97,504.0,550,6033.5
tt-123,toyo - japon,687.0,0.0,1,verde,5.236446306109428,2000.0,250,1309.111576527357
a-5509-s,sakura filter,92.0,0.0,2,verde,24.31,22.0,100,2431.0
dt235/55r18,deestone,1.0,0.0,2,rojo,45.18,40.0,150,6777.0
n018,ito koyama - resortes,116.0,0.0,3,amarillo,4.5,600.0,500,2250.0
56110-25g00,ito koyama - amortiguadores,6.0,0.0,3,rojo,4.9,100.0,250,1225.0
eo-1802,sakura filter,221.0,0.0,0,verde,1.49,100.0,200,298.0
eo-1501,sakura filter,368.0,0.0,3,verde,1.3,300.0,300,390.0
a-71310-s,sakura filter,91.0,0.0,2,verde,34.03,56.0,100,3403.0
a-28590,sakura filter,210.0,0.0,2,verde,1.6,200.0,600,960.0
48540-0d570,ito koyama - amortiguadores,0.0,0.0,3,rojo,6.4,500.0,550,3520.0
348083,ito koyama - amortiguadores,35.0,0.0,2,amarillo,6.53,120.0,150,979.5
ca-17140,sakura filter,171.0,0.0,2,amarillo,1.96,200.0,250,490.0
sfc-7939-30,sakura filter,1028.0,0.0,3,verde,11.05,300.0,700,7735.000000000001
opt-116,aisin - japon,42.0,0.0,3,verde,47.19,5.0,50,2359.5
dn-047,aisin - japon,35.0,0.0,0,verde,20.38,50.0,50,1019.0
54651-a7400,ito koyama - amortiguadores,0.0,0.0,2,rojo,10.3,60.0,150,1545.0
18048,narva,402.0,0.0,3,verde,16.431771507263182,1008.0,300,4929.531452178954
54651-3x250,ito koyama - amortiguadores,151.0,0.0,3,verde,10.3,202.0,300,3090.0
f-11112,sakura filter,780.0,0.0,3,verde,1.6,600.0,750,1200.0
zd1567,wagner - pastillas,247.0,0.0,3,verde,14.13,700.0,200,2826.0
k003,ito koyama - resortes,1184.0,0.0,3,verde,4.4,1400.0,1050,4620.0
ca-10150,sakura filter,440.0,0.0,3,verde,1.92,300.0,700,1344.0
p00100500,prextoline - lubricantes,529.0,0.0,3,verde,30.0,500.0,550,16500.0
54302-50a00,ito koyama - amortiguadores,37.0,0.0,0,verde,9.5,102.0,50,475.0
sfc-29020,sakura filter,3.0,0.0,0,rojo,2.99,20.0,100,299.0
a-1939,sakura filter,82.0,0.0,2,verde,3.23,108.0,100,323.0
a-28890,sakura filter,0.0,0.0,0,rojo,2.6,60.0,100,260.0
98015,narva,629.0,0.0,3,verde,6.575445874929428,1000.0,1350,8876.851931154728
ch010,ito koyama - resortes,0.0,0.0,3,rojo,4.28,200.0,350,1498.0
a-38390,sakura filter,43.0,0.0,0,verde,1.96,20.0,100,196.0
sc20hr11,denso - bujias - japon,198.0,0.0,2,verde,7.92,576.0,150,1188.0
884721,valvoline - usa,1598.0,0.0,3,verde,4.6,252.0,450,2070.0
c-6526,sakura filter,453.0,0.0,2,verde,1.36,450.0,600,816.0000000000001
t036,ito koyama - resortes,1.0,0.0,2,rojo,5.2,64.0,150,780.0
mi-012,ito koyama - palieres,52.0,0.0,2,verde,6.42,120.0,50,321.0
eo-31110,sakura filter,430.0,0.0,3,verde,1.6,300.0,850,1360.0
hu-12110x,mann - brasil,149.0,0.0,3,amarillo,7.667092287540436,204.0,350,2683.4823006391525
a-5902,sakura filter,86.0,0.0,0,verde,2.24,200.0,50,112.00000000000001
c-1147,sakura filter,815.0,0.0,3,amarillo,1.24,300.0,2200,2728.0
4tp20500025,valvoline,132.0,0.0,1,verde,2.83,240.0,200,566.0
48005,narva,4470.0,0.0,3,verde,2.007007931470871,5900.0,6450,12945.201157987118
a-5570-s,sakura filter,363.0,0.0,3,amarillo,3.91,100.0,2050,8015.5
a-58460,sakura filter,81.0,0.0,0,verde,2.63,200.0,50,131.5
h947/1,mann - brasil,42.0,0.0,0,verde,4.04,60.0,50,202.0
bdd024,ishikawa - discos de freno,34.0,0.0,0,verde,6.9,50.0,100,690.0
48531-09840ref,ito koyama - amortiguadores,55.0,0.0,3,rojo,9.29,120.0,450,4180.5
mr197434,ito koyama - amortiguadores,0.0,0.0,1,rojo,10.1,60.0,50,505.0
as-22470-s,sakura filter,101.0,0.0,2,amarillo,14.11,56.0,200,2822.0
d001,ito koyama - resortes,1694.0,0.0,3,verde,2.9,1608.0,1350,3915.0
a-28620,sakura filter,211.0,0.0,1,amarillo,1.2,180.0,550,660.0
eo-24070,sakura filter,181.0,0.0,2,amarillo,1.0,400.0,350,350.0
884527,valvoline - usa,247.0,0.0,3,verde,4.99,126.0,350,1746.5
a-17900,sakura filter,83.0,0.0,0,verde,2.82,100.0,100,282.0
a-5549-s,sakura filter,322.0,0.0,3,verde,16.69,131.0,400,6676.000000000001
fs-18290,sakura filter,309.0,0.0,3,amarillo,5.33,384.0,900,4797.0
dtx-117,aisin - japon,32.0,0.0,0,amarillo,28.65,60.0,50,1432.5
rp1030100,valvoline,227.0,0.0,3,rojo,11.47,210.0,550,6308.5
55310-g6200,ito koyama - amortiguadores,0.0,0.0,2,rojo,5.9,140.0,250,1475.0
sfc-79400,sakura filter,22.0,0.0,0,amarillo,9.1,144.0,100,910.0
a-1762,sakura filter,78.0,0.0,2,amarillo,1.52,220.0,100,152.0
48072,narva,3466.0,0.0,3,verde,3.215648066997528,2000.0,7050,22670.31887233257
fc-5517,sakura filter,11.0,0.0,0,rojo,4.21,24.0,100,421.0
ef-10080,sakura filter,1410.0,0.0,3,verde,3.45,600.0,600,2070.0
ca-18320,sakura filter,109.0,0.0,0,verde,0.7,100.0,100,70.0
as-1825,sakura filter,349.0,0.0,3,verde,4.13,396.0,600,2478.0
hu-721xkit,mann - brasil,95.0,0.0,3,amarillo,5.711428167819976,200.0,100,571.1428167819977
mr-992321,ito koyama - amortiguadores,0.0,0.0,3,rojo,8.0,147.0,200,1600.0
54303-50a00,ito koyama - amortiguadores,39.0,0.0,0,verde,9.5,102.0,50,475.0
p1540ci500,prextoline - lubricantes,1198.0,0.0,3,verde,29.5,935.0,1050,30975.0
a-5441-s,sakura filter,404.0,0.0,3,verde,23.72,216.0,650,15418.0
c-1008,sakura filter,353.0,0.0,3,verde,3.07,300.0,1050,3223.5
a-1416,sakura filter,10.0,0.0,0,amarillo,2.26,40.0,50,112.99999999999999
xu22epr-u,denso - bujias - japon,184.0,0.0,3,rojo,1.71,1200.0,950,1624.5
c-1302,sakura filter,259.0,0.0,3,amarillo,2.99,756.0,1300,3887.0000000000005
dtt265/65r17,deestone,0.0,0.0,2,rojo,55.84,120.0,100,5584.0
op-707,ito koyama - palieres,81.0,0.0,0,verde,8.6,150.0,100,860.0
a-13570,sakura filter,909.0,0.0,3,verde,6.5,452.0,1200,7800.0
t1061,ito koyama - trapecios,21.0,0.0,0,verde,11.3,20.0,50,565.0
w-11102/36,mann - brasil,539.0,0.0,3,amarillo,9.156063833236695,960.0,2200,20143.34043312073
ca-28260,sakura filter,228.0,0.0,2,amarillo,1.27,740.0,450,571.5
kn47001,tkl - taiwan,422.0,0.0,3,amarillo,4.4,4000.0,600,2640.0
bfu-811,mann - brasil,0.0,0.0,1,rojo,3.97,48.0,150,595.5
a-2709-s,sakura filter,1101.0,0.0,3,verde,12.0,16.0,2000,24000.0
sdhd-646,seco - embragues,39.0,0.0,0,verde,24.97,50.0,50,1248.5
w16ex-u,denso - bujias - japon,548.0,0.0,3,verde,0.9,1200.0,1450,1305.0
vv982,valvoline - usa,684.0,0.0,2,verde,9.91,204.0,250,2477.5
sf-27010,sakura filter,94.0,0.0,0,verde,4.23,100.0,100,423.00000000000006
a-7122-s,sakura filter,590.0,0.0,3,verde,35.4,191.0,700,24780.0
ca-1112,sakura filter,106.0,0.0,3,rojo,0.85,500.0,1450,1232.5
c-1318,sakura filter,310.0,0.0,3,amarillo,2.75,204.0,800,2200.0
a-1081,sakura filter,9.0,0.0,3,rojo,1.25,400.0,300,375.0
48520-12610,ito koyama - amortiguadores,12.0,0.0,3,verde,11.1,64.0,0,0.0
to-027,ito koyama - palieres,52.0,0.0,2,amarillo,6.02,100.0,150,902.9999999999999
ca-18120,sakura filter,147.0,0.0,3,rojo,1.35,80.0,1900,2565.0
a-3301,sakura filter,1230.0,0.0,3,verde,1.35,20.0,1900,2565.0
a-1728,sakura filter,240.0,0.0,2,verde,2.41,140.0,100,241.0
tto021,ito koyama - direccion,246.0,0.0,2,verde,2.33,1120.0,250,582.5
48530-16380,ito koyama - amortiguadores,0.0,0.0,3,rojo,5.9,100.0,700,4130.0
c-1305,sakura filter,677.0,0.0,3,verde,3.9,144.0,1150,4485.0
ef-1112,sakura filter,890.0,0.0,3,verde,2.0,456.0,1750,3500.0
c-1514,sakura filter,346.0,0.0,3,verde,1.62,300.0,850,1377.0
a-76530-s,sakura filter,430.0,0.0,3,verde,9.88,52.0,400,3952.0000000000005
18032,narva,2991.0,0.0,3,verde,20.025725548267364,1200.0,1350,27034.729490160942
t1099,ito koyama - trapecios,31.0,0.0,1,verde,8.12,60.0,50,405.99999999999994
c-1328,sakura filter,240.0,0.0,3,verde,3.91,60.0,650,2541.5
a-1126-s,sakura filter,539.0,0.0,3,amarillo,4.84,92.0,1850,8954.0
k16r-u11,denso - bujias - japon,4768.0,0.0,3,verde,0.99,6720.0,2250,2227.5
a-5513,sakura filter,18.0,0.0,0,amarillo,23.34,5.0,100,2334.0
a-6020m,sakura filter,653.0,0.0,3,verde,8.1,208.0,1250,10125.0
4852009m80,ito koyama - amortiguadores,0.0,0.0,3,rojo,12.3,60.0,150,1845.0
c-2516,sakura filter,0.0,0.0,2,rojo,1.43,75.0,300,429.0
k16tr11,denso - bujias - japon,2416.0,0.0,3,verde,1.49,3360.0,1000,1490.0
48680,narva,2551.0,0.0,3,verde,4.4818518090248105,160.0,850,3809.5740376710887
t1107,ito koyama - trapecios,18.0,0.0,2,rojo,7.72,700.0,150,1158.0
17171,narva,37450.0,0.0,3,verde,0.15523818254470825,25000.0,15350,2382.9061020612717
a-1126,sakura filter,25.0,0.0,3,rojo,3.57,54.0,200,714.0
bdd099,ishikawa - discos de freno,52.0,0.0,0,verde,9.3,80.0,50,465.00000000000006
efg-1002,sakura filter,0.0,0.0,3,rojo,4.1,150.0,1350,5534.999999999999
a-33740,sakura filter,3345.0,0.0,3,amarillo,3.75,3440.0,7200,27000.0
wk-1040,mann - brasil,2776.0,0.0,3,verde,9.32,1200.0,3600,33552.0
3461-8553skr,sakura - radiadores,133.0,0.0,3,amarillo,30.5,200.0,350,10675.0
56210-4m400,ito koyama - amortiguadores,0.0,0.0,3,rojo,6.9,112.0,250,1725.0
to-502,ito koyama - palieres,0.0,0.0,0,rojo,8.9,100.0,100,890.0
eo-28080,sakura filter,0.0,0.0,0,rojo,1.62,50.0,50,81.0
efg-15010,sakura filter,312.0,0.0,3,verde,2.85,300.0,1100,3135.0
vv975,valvoline - usa,345.0,0.0,3,verde,6.75,204.0,500,3375.0
48881,narva,52969.0,0.0,3,verde,1.2640823435783386,100.0,55450,70093.36595141888
f-11140,sakura filter,1926.0,0.0,3,amarillo,2.5,100.0,6750,16875.0
mwmwd976,wagner - pastillas,1587.0,0.0,3,verde,6.6,2700.0,1100,7260.0
a-12350,sakura filter,90.0,0.0,0,verde,1.94,100.0,250,485.0
ef-1003,sakura filter,0.0,0.0,3,rojo,2.0,2000.0,5850,11700.0
c-65400,sakura filter,415.0,0.0,3,rojo,1.1,600.0,2600,2860.0000000000005
wk-723,mann - brasil,919.0,0.0,3,verde,3.1001720988750456,800.0,1600,4960.275358200073
ef-11010,sakura filter,151.0,0.0,0,verde,2.0,300.0,100,200.0
c-1110,sakura filter,422.0,0.0,3,rojo,1.14,2500.0,4000,4560.0
c-1142,sakura filter,0.0,0.0,3,rojo,1.3,1000.0,2500,3250.0
sfc-7926-30,sakura filter,133.0,0.0,0,verde,7.94,300.0,100,794.0
eo-28090,sakura filter,850.0,0.0,3,amarillo,2.0,250.0,3550,7100.0
paw68a500,prextoline - lubricantes,1556.0,0.0,3,verde,20.55,824.0,1850,38017.5
c-2505,sakura filter,872.0,0.0,3,amarillo,1.15,1200.0,1200,1380.0
a-1517,sakura filter,179.0,0.0,3,rojo,2.6,100.0,1300,3380.0
ca-2807,sakura filter,1134.0,0.0,3,verde,1.1,760.0,1500,1650.0000000000002
a-1088,sakura filter,598.0,0.0,3,verde,7.12,25.0,1600,11392.0
fc-1001,sakura filter,648.0,0.0,3,verde,2.37,500.0,2250,5332.5
c-2906,sakura filter,1483.0,0.0,3,amarillo,1.8,1500.0,4150,7470.0
azul,novaquimica - peru,27.0,0.0,2,verde,14.53,30.0,50,726.5
fc-1806,sakura filter,3524.0,0.0,3,verde,1.92,600.0,5600,10752.0
ca-11380,sakura filter,1033.0,0.0,3,amarillo,0.9,1260.0,3950,3555.0
bdd089,ishikawa - discos de freno,4.0,0.0,0,rojo,6.78,100.0,100,678.0
sk008,ito koyama - resortes,152.0,0.0,3,verde,3.99,296.0,350,1396.5
fc-1807,sakura filter,2655.0,0.0,3,verde,2.0,200.0,6800,13600.0
55311-d4200,ito koyama - amortiguadores,46.0,0.0,0,amarillo,7.2,200.0,100,720.0
c-1160,sakura filter,5882.0,0.0,3,amarillo,1.3,3100.0,7350,9555.0
f-1111,sakura filter,3639.0,0.0,3,verde,1.2,2500.0,6900,8280.0
a-17860,sakura filter,883.0,0.0,3,verde,4.4,600.0,950,4180.0
ca-1114,sakura filter,3332.0,0.0,3,amarillo,1.0,920.0,7800,7800.0
