Fecha,Artículo,Fuente Suministro,Inventario,Compras Recomendadas,Demanda Mensual,Meses proteccion,Alerta,Lead Time,Margen,Ultima fecha,Monto USD,Última Compra,Recomendacion USD,Importancia RFM,Backorder,holgura,quebro,va_a_quebrar,consumiendo_proteccion
2024-12-01,v003,ito koyama - resortes,0.0,100,11.875109838747202,0.6630310789471016,rojo,6,0.6281276155557528,2024-01-22,8.82,96.0,882.0,1,,0.0,1,0,1
2024-04-01,50006608,ks - alemania,0.0,250,60.99908447265625,0.27475396171694205,rojo,4,0.3714645021432406,2022-06-23,4.944010305404663,120.0,1236.0025763511658,0,,0.0,1,0,1
2024-12-01,icd1258,ishikawa - pastillas de freno,54.0,100,11.118146516244778,0.7018376005759491,verde,6,0.9109003387704931,2024-07-26,5.4,100.0,540.0,0,,4.856924661057518,0,0,0
2024-09-01,t1206,ito koyama - trapecios,1.0,50,3.38225217329088,0.7691440642537213,amarillo,6,0.5312800103557049,2024-03-19,14.2,20.0,710.0,0,,0.2956609823172987,0,0,1
2024-12-01,bdd055,ishikawa - discos de freno,28.0,50,6.452374776204427,0.2967673580546538,verde,6,0.8306453044681926,2023-03-31,11.01,150.0,550.5,0,,4.339487548562832,0,0,0
2024-12-01,a-88140,sakura filter,111.0,50,2.00048557917277,0.763577227226802,verde,6,0.6688431383411269,2016-11-21,1.9,200.0,95.0,0,,55.486528448708,0,0,0
2024-12-01,c-14200,mann - brasil,65.0,150,31.190603242447935,0.5745642578110894,verde,4,0.7208988022354553,2024-09-12,6.11,120.0,916.5,2,,2.0839609767963756,0,0,0
2025-01-01,a-38320-s,sakura filter,122.0,100,8.997161865234375,0.7825857058420432,verde,6,1.0582975426658259,2024-09-30,18.0,108.0,1800.0,3,,13.559831625505819,0,0,0
2024-12-01,cv-27,ito koyama - palieres,3.0,50,5.218647364761807,1.3446663751549568,amarillo,6,0.5539929035995149,2024-10-24,6.4,50.0,320.0,0,,0.574861604993103,0,0,1
2024-10-01,54651-c5000,ito koyama - amortiguadores,1.0,50,5.348854899874304,0.8100833436553981,amarillo,6,0.6284351770815491,2024-02-29,12.5,54.0,625.0,1,,0.18695590340719462,0,0,1
2024-12-01,bdd013,ishikawa - discos de freno,140.0,100,13.709760030110678,0.4131073118768277,verde,6,0.8346712912334933,2023-03-31,7.74,350.0,774.0,0,,10.211703172959899,0,0,0
2024-12-01,t033,ito koyama - resortes,66.0,100,9.750025806895623,0.29409581189548256,verde,6,0.7005917539951575,2023-08-31,8.85,64.0,885.0,2,,6.769212852064665,0,0,0
2024-12-01,bdd057,ishikawa - discos de freno,0.0,100,11.983899423789323,0.36769623417011643,rojo,6,0.8876196412924253,2024-10-30,8.72,50.0,872.0000000000001,0,,0.0,1,0,1
2024-12-01,mi-025,ito koyama - palieres,12.0,50,7.076504351227359,0.7443177360264439,verde,6,0.5136583482015191,2023-12-07,6.9,50.0,345.0,0,,1.6957525077927356,0,0,0
2024-06-01,c-271170/6,mann - brasil,0.0,50,3.652035546354189,0.22357301032922064,rojo,4,0.4088500000101975,2020-12-30,42.90983324050904,20.0,2145.4916620254517,0,,0.0,1,0,1
2024-12-01,a-71420-s,sakura filter,16.0,100,11.205031377664945,1.072282286458737,verde,6,0.5644057766383695,2024-04-18,31.66,8.0,3166.0,2,,1.4279299593835046,0,0,0
2024-12-01,sfc-7104-02,sakura filter,58.0,50,2.0,0.9428090415820634,verde,6,0.6818427331056024,2015-10-06,4.5,48.0,225.0,0,,29.0,0,0,0
2024-02-01,tto005,ito koyama - direccion,0.0,150,20.56188945197894,0.494875977747016,rojo,6,0.6637375916394018,2023-05-19,2.65,120.0,397.5,1,,0.0,1,0,1
2025-01-01,a-5501-s,sakura filter,184.0,50,0.7123048241804995,4.197946008842409,verde,6,0.9279706394344764,2024-10-31,25.53,36.0,1276.5,0,,258.3163748914524,0,0,0
2024-10-01,54661-c5000,ito koyama - amortiguadores,1.0,50,6.254229205407103,0.5859355482551467,amarillo,6,0.6232151655724988,2024-02-29,12.5,54.0,625.0,1,,0.15989180555382404,0,0,1
2024-12-01,as-5102-s,sakura filter,224.0,150,24.43444061279297,0.44811250823991466,verde,6,0.8227644788485765,2024-08-29,28.82,96.0,4323.0,2,,9.16738809574883,0,0,0
2024-12-01,a-21080,sakura filter,26.0,50,5.647048314412435,1.707115760320713,verde,6,0.7860992936450683,2022-11-22,2.09,40.0,104.5,0,,4.604175234988273,0,0,0
2024-12-01,g20w50025,valvoline,402.0,150,60.00009536743164,0.2516607478383722,verde,2,0.5225568181422673,2024-06-12,3.08,240.0,462.0,2,,6.699989350653727,0,0,0
2024-12-01,icd2302,ishikawa - pastillas de freno,163.0,50,7.4465170362959165,0.4694851937973296,verde,6,0.8471653498088024,2024-03-20,7.29,100.0,364.5,0,,21.889428199184014,0,0,0
2024-12-01,a-1959,sakura filter,35.0,150,16.999917348225914,0.27098710105449453,verde,6,1.0143486352160573,2024-06-13,3.2,120.0,480.0,1,,2.0588335391908568,0,0,0
2024-12-01,bdd041,ishikawa - discos de freno,76.0,150,20.760601553911528,0.24239768875160372,verde,6,0.6729142694646835,2024-01-09,10.41,80.0,1561.5,0,,3.6607802429347602,0,0,0
2024-07-01,schd-494,seco - embragues,13.0,50,3.441756961294276,0.2739324862809369,verde,4,0.4142354859564504,2020-04-25,21.49,50.0,1074.5,0,,3.777140613412557,0,0,0
2024-12-01,bni009,ito koyama - bocamazas,0.0,50,4.0,1.044994683665371,rojo,6,0.806456708901623,2021-07-19,5.35,100.0,267.5,0,,0.0,1,0,1
2025-01-01,c-6805,sakura filter,333.0,300,47.179265419340766,0.8478146258730697,verde,6,0.743020169759391,2024-10-22,4.74,300.0,1422.0,3,,7.0581853498611125,0,0,0
2024-05-01,a-1411,sakura filter,138.0,50,5.540239049120081,0.7344181064817885,verde,6,0.6672962246421185,2017-02-09,1.8,20.0,90.0,0,,24.908672491653157,0,0,0
2024-10-01,icd924,ishikawa - pastillas de freno,0.0,250,38.71146206014502,0.5192196360605886,rojo,6,0.7713996363647284,2024-07-26,5.08,140.0,1270.0,1,,0.0,1,0,1
2024-04-01,scns-087,seco - embragues,0.0,50,2.381991052974513,2.5347446658640975,rojo,4,0.42306446315723206,2023-05-23,14.88,80.0,744.0,0,,0.0,1,0,1
2025-01-01,c-1007,sakura filter,45.0,100,14.056204031346368,1.978899004268762,verde,6,0.6402068866060817,2024-10-22,7.7,198.0,770.0,3,,3.201433324363156,0,0,0
2024-12-01,48511-35280,ito koyama - amortiguadores,37.0,50,5.3774412068637645,2.139364137023102,verde,6,0.6708226666898456,2024-08-22,5.5,100.0,275.0,0,,6.880595914795537,0,0,0
2025-01-01,as-1024-s,sakura filter,143.0,100,11.656774435991911,0.36283843957358025,verde,6,0.9921518972286842,2023-12-05,16.77,1.0,1677.0,3,,12.267544575493167,0,0,0
2024-04-01,rhy011,ito koyama - direccion,0.0,100,16.451551254115746,0.9098525228211383,rojo,6,0.7861943708200936,2023-05-19,1.94,240.0,194.0,0,,0.0,1,0,1
2024-12-01,a-5022-s,sakura filter,168.0,150,19.734329223632812,0.22929564174295308,verde,6,0.8265111660214159,2024-10-16,12.42,7.0,1863.0,2,,8.513083880186405,0,0,0
2024-12-01,a-5330-s,sakura filter,63.0,250,36.096143086751304,0.4436212340184175,verde,6,0.8222871291347493,2024-10-31,15.42,30.0,3855.0,2,,1.7453388260510154,0,0,0
2024-12-01,icd1950,ishikawa - pastillas de freno,161.0,550,88.00245157877605,0.4023250019390238,verde,6,1.2986717205268612,2024-07-26,3.36,510.0,1848.0,2,,1.8294944869334653,0,0,0
2024-02-01,sdhd-078,seco - embragues,1.0,100,13.707848095437972,0.39313401527928143,amarillo,4,0.4273695707870424,2022-08-08,14.97,100.0,1497.0,0,,0.07295091053225225,0,0,1
2024-12-01,ni-080,ito koyama - palieres,46.0,300,43.413427111210304,0.32358108078029546,verde,6,0.6287117174095422,2024-10-24,7.0,50.0,2100.0,2,,1.0595800207655521,0,0,0
