lag,tipo,corr,sku
0,Hibridos y Electricos,0.0,00359br
0,Livianos,0.0,00359br
0,Menores,0.0,00359br
0,Pesados,-0.9954813484924382,00359br
0,Remolques y SemiR,0.0,00359br
1,Hibridos y Electricos,-0.9696292007540721,00359br
1,Livianos,0.0,00359br
1,Menores,0.0,00359br
1,Pesados,0.0,00359br
1,Remolques y SemiR,0.0,00359br
2,Hibridos y Electricos,0.0,00359br
2,Livianos,0.0,00359br
2,Menores,0.0,00359br
2,Pesados,0.0,00359br
2,Remolques y SemiR,0.0,00359br
3,Hibridos y Electricos,0.0,00359br
3,Livianos,-0.9999810846824879,00359br
3,Menores,0.0,00359br
3,Pesados,0.0,00359br
3,Remolques y SemiR,0.0,00359br
4,Hibridos y Electricos,0.0,00359br
4,Livianos,0.0,00359br
4,Menores,0.991955277691749,00359br
4,Pesados,0.0,00359br
4,Remolques y SemiR,0.9945573109889173,00359br
5,Hibridos y Electricos,0.0,00359br
5,Livianos,0.0,00359br
5,Menores,0.0,00359br
5,Pesados,0.0,00359br
5,Remolques y SemiR,0.0,00359br
6,Hibridos y Electricos,0.0,00359br
6,Livianos,0.0,00359br
6,Menores,0.0,00359br
6,Pesados,0.0,00359br
6,Remolques y SemiR,0.0,00359br
7,Hibridos y Electricos,0.0,00359br
7,Livianos,0.0,00359br
7,Menores,0.0,00359br
7,Pesados,0.0,00359br
7,Remolques y SemiR,0.0,00359br
0,Hibridos y Electricos,0.0,00709
0,Livianos,0.9489054099366185,00709
0,Menores,0.9895344619303983,00709
0,Pesados,0.9242924121534155,00709
0,Remolques y SemiR,0.0,00709
1,Hibridos y Electricos,0.0,00709
1,Livianos,0.0,00709
1,Menores,0.0,00709
1,Pesados,0.0,00709
1,Remolques y SemiR,0.0,00709
2,Hibridos y Electricos,0.0,00709
2,Livianos,0.0,00709
2,Menores,0.0,00709
2,Pesados,0.0,00709
2,Remolques y SemiR,0.0,00709
3,Hibridos y Electricos,-0.9437365672093294,00709
3,Livianos,0.0,00709
3,Menores,0.0,00709
3,Pesados,0.0,00709
3,Remolques y SemiR,0.0,00709
4,Hibridos y Electricos,0.0,00709
4,Livianos,0.0,00709
4,Menores,0.0,00709
4,Pesados,0.0,00709
4,Remolques y SemiR,-0.9947039964359442,00709
5,Hibridos y Electricos,0.0,00709
5,Livianos,0.0,00709
5,Menores,0.0,00709
5,Pesados,0.0,00709
5,Remolques y SemiR,0.0,00709
6,Hibridos y Electricos,0.0,00709
6,Livianos,0.0,00709
6,Menores,0.0,00709
6,Pesados,0.0,00709
6,Remolques y SemiR,0.0,00709
7,Hibridos y Electricos,0.0,00709
7,Livianos,0.0,00709
7,Menores,0.0,00709
7,Pesados,0.0,00709
7,Remolques y SemiR,0.0,00709
0,Hibridos y Electricos,0.0,00726br
0,Livianos,0.0,00726br
0,Menores,0.0,00726br
0,Pesados,0.0,00726br
0,Remolques y SemiR,0.0,00726br
1,Hibridos y Electricos,0.0,00726br
1,Livianos,0.0,00726br
1,Menores,0.0,00726br
1,Pesados,-0.996633036485107,00726br
1,Remolques y SemiR,0.0,00726br
2,Hibridos y Electricos,0.0,00726br
2,Livianos,0.0,00726br
2,Menores,0.0,00726br
2,Pesados,0.0,00726br
2,Remolques y SemiR,0.0,00726br
3,Hibridos y Electricos,0.0,00726br
3,Livianos,0.0,00726br
3,Menores,0.0,00726br
3,Pesados,0.0,00726br
3,Remolques y SemiR,0.0,00726br
4,Hibridos y Electricos,0.0,00726br
4,Livianos,0.0,00726br
4,Menores,0.0,00726br
4,Pesados,0.0,00726br
4,Remolques y SemiR,0.9819805060619656,00726br
5,Hibridos y Electricos,0.0,00726br
5,Livianos,0.0,00726br
5,Menores,-0.9841706983212964,00726br
5,Pesados,0.0,00726br
5,Remolques y SemiR,0.0,00726br
6,Hibridos y Electricos,0.0,00726br
6,Livianos,0.0,00726br
6,Menores,0.0,00726br
6,Pesados,0.0,00726br
6,Remolques y SemiR,0.0,00726br
7,Hibridos y Electricos,0.9933992677987828,00726br
7,Livianos,0.9908509276187872,00726br
7,Menores,0.0,00726br
7,Pesados,0.0,00726br
7,Remolques y SemiR,0.0,00726br
0,Hibridos y Electricos,0.0,00979brge
0,Livianos,0.0,00979brge
0,Menores,0.0,00979brge
0,Pesados,0.0,00979brge
0,Remolques y SemiR,0.0,00979brge
1,Hibridos y Electricos,0.0,00979brge
1,Livianos,0.0,00979brge
1,Menores,0.0,00979brge
1,Pesados,0.0,00979brge
1,Remolques y SemiR,0.0,00979brge
2,Hibridos y Electricos,0.0,00979brge
2,Livianos,0.0,00979brge
2,Menores,0.0,00979brge
2,Pesados,0.0,00979brge
2,Remolques y SemiR,0.0,00979brge
3,Hibridos y Electricos,0.0,00979brge
3,Livianos,0.0,00979brge
3,Menores,0.0,00979brge
3,Pesados,0.0,00979brge
3,Remolques y SemiR,0.5041970210667787,00979brge
4,Hibridos y Electricos,0.0,00979brge
4,Livianos,0.0,00979brge
4,Menores,0.0,00979brge
4,Pesados,0.0,00979brge
4,Remolques y SemiR,0.0,00979brge
5,Hibridos y Electricos,-0.4892939146712106,00979brge
5,Livianos,-0.6095068410037423,00979brge
5,Menores,-0.877132010228555,00979brge
5,Pesados,-0.6632433059683525,00979brge
5,Remolques y SemiR,0.0,00979brge
6,Hibridos y Electricos,0.0,00979brge
6,Livianos,0.0,00979brge
6,Menores,0.0,00979brge
6,Pesados,0.0,00979brge
6,Remolques y SemiR,0.0,00979brge
7,Hibridos y Electricos,0.0,00979brge
7,Livianos,0.0,00979brge
7,Menores,0.0,00979brge
7,Pesados,0.0,00979brge
7,Remolques y SemiR,0.0,00979brge
0,Hibridos y Electricos,0.0,01017572b
0,Livianos,0.0,01017572b
0,Menores,0.0,01017572b
0,Pesados,0.0,01017572b
0,Remolques y SemiR,0.0,01017572b
1,Hibridos y Electricos,0.0,01017572b
1,Livianos,0.0,01017572b
1,Menores,0.0,01017572b
1,Pesados,0.0,01017572b
1,Remolques y SemiR,0.0,01017572b
2,Hibridos y Electricos,-0.5744761484403976,01017572b
2,Livianos,0.0,01017572b
2,Menores,-0.9593493579151506,01017572b
2,Pesados,0.0,01017572b
2,Remolques y SemiR,0.0,01017572b
3,Hibridos y Electricos,0.0,01017572b
3,Livianos,0.0,01017572b
3,Menores,0.0,01017572b
3,Pesados,0.0,01017572b
3,Remolques y SemiR,0.0,01017572b
4,Hibridos y Electricos,0.0,01017572b
4,Livianos,0.0,01017572b
4,Menores,0.0,01017572b
4,Pesados,0.0,01017572b
4,Remolques y SemiR,0.0,01017572b
5,Hibridos y Electricos,0.0,01017572b
5,Livianos,0.9993924733646369,01017572b
5,Menores,0.0,01017572b
5,Pesados,0.0,01017572b
5,Remolques y SemiR,0.8880788049146698,01017572b
6,Hibridos y Electricos,0.0,01017572b
6,Livianos,0.0,01017572b
6,Menores,0.0,01017572b
6,Pesados,0.0,01017572b
6,Remolques y SemiR,0.0,01017572b
7,Hibridos y Electricos,0.0,01017572b
7,Livianos,0.0,01017572b
7,Menores,0.0,01017572b
7,Pesados,0.9966424601717679,01017572b
7,Remolques y SemiR,0.0,01017572b
0,Hibridos y Electricos,0.0,01095jg2
0,Livianos,0.0,01095jg2
0,Menores,0.0,01095jg2
0,Pesados,0.0,01095jg2
0,Remolques y SemiR,0.0,01095jg2
1,Hibridos y Electricos,0.0,01095jg2
1,Livianos,0.0,01095jg2
1,Menores,-0.32805190594072825,01095jg2
1,Pesados,0.0,01095jg2
1,Remolques y SemiR,0.0,01095jg2
2,Hibridos y Electricos,0.0,01095jg2
2,Livianos,0.0,01095jg2
2,Menores,0.0,01095jg2
2,Pesados,0.0,01095jg2
2,Remolques y SemiR,0.0,01095jg2
3,Hibridos y Electricos,0.0,01095jg2
3,Livianos,0.0,01095jg2
3,Menores,0.0,01095jg2
3,Pesados,0.0,01095jg2
3,Remolques y SemiR,0.0,01095jg2
4,Hibridos y Electricos,0.0,01095jg2
4,Livianos,0.0,01095jg2
4,Menores,0.0,01095jg2
4,Pesados,-0.4300966770304423,01095jg2
4,Remolques y SemiR,0.0,01095jg2
5,Hibridos y Electricos,0.0,01095jg2
5,Livianos,0.0,01095jg2
5,Menores,0.0,01095jg2
5,Pesados,0.0,01095jg2
5,Remolques y SemiR,0.31781527470155485,01095jg2
6,Hibridos y Electricos,-0.307278353769667,01095jg2
6,Livianos,-0.48105864604205484,01095jg2
6,Menores,0.0,01095jg2
6,Pesados,0.0,01095jg2
6,Remolques y SemiR,0.0,01095jg2
7,Hibridos y Electricos,0.0,01095jg2
7,Livianos,0.0,01095jg2
7,Menores,0.0,01095jg2
7,Pesados,0.0,01095jg2
7,Remolques y SemiR,0.0,01095jg2
0,Hibridos y Electricos,0.0,01135brg
0,Livianos,0.0,01135brg
0,Menores,0.0,01135brg
0,Pesados,0.0,01135brg
0,Remolques y SemiR,0.0,01135brg
1,Hibridos y Electricos,0.7117766472823254,01135brg
1,Livianos,0.0,01135brg
1,Menores,0.0,01135brg
1,Pesados,0.0,01135brg
1,Remolques y SemiR,0.0,01135brg
2,Hibridos y Electricos,0.0,01135brg
2,Livianos,0.0,01135brg
2,Menores,0.8998540746114789,01135brg
2,Pesados,0.0,01135brg
2,Remolques y SemiR,0.0,01135brg
3,Hibridos y Electricos,0.0,01135brg
3,Livianos,-0.5206726014854954,01135brg
3,Menores,0.0,01135brg
3,Pesados,0.0,01135brg
3,Remolques y SemiR,0.0,01135brg
4,Hibridos y Electricos,0.0,01135brg
4,Livianos,0.0,01135brg
4,Menores,0.0,01135brg
4,Pesados,0.0,01135brg
4,Remolques y SemiR,0.0,01135brg
5,Hibridos y Electricos,0.0,01135brg
5,Livianos,0.0,01135brg
5,Menores,0.0,01135brg
5,Pesados,0.0,01135brg
5,Remolques y SemiR,0.0,01135brg
6,Hibridos y Electricos,0.0,01135brg
6,Livianos,0.0,01135brg
6,Menores,0.0,01135brg
6,Pesados,-0.7429219467769215,01135brg
6,Remolques y SemiR,-0.6814808325755681,01135brg
7,Hibridos y Electricos,0.0,01135brg
7,Livianos,0.0,01135brg
7,Menores,0.0,01135brg
7,Pesados,0.0,01135brg
7,Remolques y SemiR,0.0,01135brg
0,Hibridos y Electricos,0.0,012315504
0,Livianos,0.0,012315504
0,Menores,0.0,012315504
0,Pesados,0.0,012315504
0,Remolques y SemiR,0.0,012315504
1,Hibridos y Electricos,0.0,012315504
1,Livianos,0.0,012315504
1,Menores,0.0,012315504
1,Pesados,0.0,012315504
1,Remolques y SemiR,0.0,012315504
2,Hibridos y Electricos,0.0,012315504
2,Livianos,0.0,012315504
2,Menores,0.0,012315504
2,Pesados,0.0,012315504
